Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,389.089996,395.649994,387.070007,391.709991,391.669464,39609400
2023-06-06,388.299988,391.600006,381.480011,386.540009,386.500000,38872900
2023-06-07,389.149994,394.989990,373.559998,374.750000,374.750000,51199800
2023-06-08,377.239990,388.640015,375.049988,385.100006,385.100006,41777200
2023-06-09,390.369995,397.109985,385.670013,387.700012,387.700012,42722000
2023-06-12,392.000000,395.299988,386.179993,394.820007,394.820007,38870100
2023-06-13,401.859985,411.010010,397.399994,410.220001,410.220001,61320800
2023-06-14,408.239990,430.000000,405.519989,429.970001,429.970001,74046500
2023-06-15,426.019989,432.890015,421.470001,426.529999,426.529999,56862200
2023-06-16,434.500000,437.209991,426.609985,426.920013,426.920013,65475500
2023-06-20,429.980011,439.899994,426.739990,438.079987,438.079987,45115300
2023-06-21,435.010010,436.149994,420.799988,430.450012,430.450012,55160300
2023-06-22,422.529999,434.260010,422.339996,430.250000,430.250000,41773700
2023-06-23,424.640015,428.089996,420.149994,422.089996,422.089996,35632300
2023-06-26,424.609985,427.640015,401.000000,406.320007,406.320007,59432200
2023-06-27,407.989990,419.399994,404.480011,418.760010,418.760010,46217500
2023-06-28,406.600006,418.450012,405.179993,411.170013,411.170013,58263900
2023-06-29,415.579987,416.000000,406.000000,408.220001,408.220001,38051400
2023-06-30,416.799988,425.500000,415.010010,423.019989,423.019989,50053400
