area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000304;042;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;159,745599149291;010150000304;01015000030404201;010150000304042011;202306
1;10150;000304;042;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;159,745599149291;010150000304;01015000030404202;010150000304042021;202306
1;10150;000304;042;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;159,745599149291;010150000304;01015000030404203;010150000304042031;202306
1;10150;000304;042;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;159,745599149291;010150000304;01015000030404204;010150000304042041;202306
1;10150;000304;042;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2712;159,745599149291;010150000304;01015000030404205;010150000304042051;202306
1;10150;000304;042;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;159,745599149291;010150000304;01015000030404206;010150000304042061;202306
1;10150;000304;042;07;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;159,745599149291;010150000304;01015000030404207;010150000304042071;202306
1;10150;002103;049;01;1;3;2;3;3;2;2;3;2;3;2;3;3;2;2;2;3;2713;72,447315867197;010150002103;01015000210304901;010150002103049011;202306
1;10150;002103;049;04;1;2;3;3;3;2;3;2;2;2;3;3;3;2;2;3;3;2713;72,447315867197;010150002103;01015000210304904;010150002103049041;202306
1;10150;002103;049;05;1;2;3;2;3;2;3;3;2;3;2;2;3;2;2;3;3;2713;72,447315867197;010150002103;01015000210304905;010150002103049051;202306
1;10150;002103;049;06;1;2;3;3;3;3;2;3;3;3;2;3;2;3;2;3;3;2713;72,447315867197;010150002103;01015000210304906;010150002103049061;202306
1;10150;002103;049;07;1;2;2;3;3;3;2;3;2;3;2;3;2;2;2;3;3;2713;72,447315867197;010150002103;01015000210304907;010150002103049071;202306
1;10150;002103;049;10;1;2;3;1;3;3;2;1;3;2;3;2;3;2;2;2;3;2713;72,447315867197;010150002103;01015000210304910;010150002103049101;202306
1;10150;003302;036;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;53,7828095494479;010150003302;01015000330203601;010150003302036011;202306
1;10150;003302;036;02;1;2;1;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2711;53,7828095494479;010150003302;01015000330203602;010150003302036021;202306
1;10150;003302;036;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2711;53,7828095494479;010150003302;01015000330203603;010150003302036031;202306
1;10150;003302;036;04;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2711;53,7828095494479;010150003302;01015000330203604;010150003302036041;202306
1;10150;003302;036;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2711;53,7828095494479;010150003302;01015000330203605;010150003302036051;202306
1;10150;003302;036;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;53,7828095494479;010150003302;01015000330203606;010150003302036061;202306
1;10150;003302;036;09;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;53,7828095494479;010150003302;01015000330203609;010150003302036091;202306
1;10150;004901;036;01;1;2;3;1;2;1;2;2;3;2;3;2;2;3;1;2;2;2713;112,941975759716;010150004901;01015000490103601;010150004901036011;202306
1;10150;004901;036;02;1;3;2;1;3;2;1;2;3;2;1;2;3;3;3;2;2;2713;112,941975759716;010150004901;01015000490103602;010150004901036021;202306
1;10150;004901;036;03;1;1;2;2;3;3;2;1;2;3;2;3;2;3;3;2;2;2713;112,941975759716;010150004901;01015000490103603;010150004901036031;202306
1;10150;004901;036;04;1;2;1;1;2;3;2;3;2;2;3;2;2;3;2;2;2;2713;112,941975759716;010150004901;01015000490103604;010150004901036041;202306
1;10150;004901;036;05;1;2;1;1;2;2;3;2;3;2;1;2;3;1;2;1;2;2713;112,941975759716;010150004901;01015000490103605;010150004901036051;202306
1;10150;004901;036;06;1;1;3;1;2;2;1;2;2;3;2;2;1;1;2;2;2;2713;112,941975759716;010150004901;01015000490103606;010150004901036061;202306
1;10150;004901;036;07;1;3;2;1;2;3;3;2;2;3;2;3;3;3;2;2;2;2713;112,941975759716;010150004901;01015000490103607;010150004901036071;202306
1;10150;005601;036;01;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2713;258,408869693653;010150005601;01015000560103601;010150005601036011;202306
1;10150;005601;036;02;1;2;3;2;3;2;3;2;2;3;2;3;2;3;2;2;3;2713;258,408869693653;010150005601;01015000560103602;010150005601036021;202306
